drugname,pt,A,drug_reports,reaction_reports,B,C,D,A_adj,B_adj,C_adj,D_adj,PRR,ROR,ChiSquare,ROR_Lower95,ROR_Upper95,Signal
MELANOTAN II,RENAL ARTERY THROMBOSIS,3,3,4,0,1,385274,3,0.5,1.0,385274,330235.71428571426,2311644.0,288957.74999416,64538.29723108363,82798868.4548421,🔴 Strong
CARBOCYSTEINE,AMYLOID ARTHROPATHY,17,44,17,27,0,385234,17,27.0,0.5,385234,297681.20454545453,485109.4814814815,-17317.60807094095,28413.48148755254,8282378.529583793,🟢 Weak
NEBIDO,PULMONARY OIL MICROEMBOLISM,3,4,4,1,1,385273,3,1.0,1.0,385273,288955.5,1155819.0,216717.37498702225,57893.97632510911,23075242.80693774,🔴 Strong
NEOTIGASON,CUTANEOUS T-CELL LYMPHOMA REFRACTORY,3,8,3,5,0,385270,3,5.0,0.5,385270,288952.875,462324.0,144477.37498540003,20422.565406395603,10466044.628705818,🔴 Strong
TIAPRIDE HYDROCHLORIDE,AVOIDANT PERSONALITY DISORDER,3,8,3,5,0,385270,3,5.0,0.5,385270,288952.875,462324.0,144477.37498540003,20422.565406395603,10466044.628705818,🔴 Strong
NOMEGESTROL ACETATE,MENINGIOMA SURGERY,6,16,6,10,0,385262,6,10.0,0.5,385262,288946.875,462314.4,144475.4999415997,24176.345366172365,8840649.86705635,🔴 Strong
TENORMIN,VERTEBRAL LATERAL RECESS STENOSIS,5,7,6,2,1,385270,5,2.0,1.0,385270,275193.5714285714,963175.0,229329.8809201836,74791.61840726492,12403877.60528642,🔴 Strong
SEVELAMER,MICROSTOMIA,5,14,5,9,0,385264,5,9.0,0.5,385264,275188.9285714286,428071.1111111111,137596.07138685705,21750.33613160544,8424921.576344173,🔴 Strong
TINZAPARIN,MULTIPLE EPIPHYSEAL DYSPLASIA,9,26,9,17,0,385252,9,17.0,0.5,385252,266713.26923076925,407913.8823529412,133359.57678561052,22733.453028968623,7319333.987855616,🔴 Strong
AMSACRINE,ELECTROCARDIOGRAM T WAVE BIPHASIC,3,9,3,6,0,385269,3,6.0,0.5,385269,256846.3333333333,385269.0,128423.99998442671,17372.84015122818,8543922.64413407,🔴 Strong
AMSACRINE,GRANULICATELLA INFECTION,3,9,3,6,0,385269,3,6.0,0.5,385269,256846.3333333333,385269.0,128423.99998442671,17372.84015122818,8543922.64413407,🔴 Strong
TECHNETIUM TC-99M SESTAMIBI,SCAN MYOCARDIAL PERFUSION ABNORMAL,6,9,7,3,1,385268,6,3.0,1.0,385268,256846.0,770536.0,220155.9999514257,69866.36539954631,8498019.381724624,🔴 Strong
GUANIDINE,AMYLOID ARTHROPATHY,16,24,17,8,1,385253,16,8.0,1.0,385253,256836.0,770506.0,-62882.473480705215,91029.59061123744,6521829.792374252,🟢 Weak
SULFAGUANIDINE,AMYLOID ARTHROPATHY,16,25,17,9,1,385252,16,9.0,1.0,385252,246561.92,684892.4444444445,-60368.61128941675,81934.99009248761,5724998.073809435,🟢 Weak
IXPRIM,GAS POISONING,4,13,4,9,0,385265,4,9.0,0.5,385265,237086.46153846156,342457.7777777777,118544.30766355692,16851.317810404966,6959534.612069332,🔴 Strong
DDAVP,MECHANICAL VENTILATION COMPLICATION,3,5,4,2,1,385272,3,2.0,1.0,385272,231163.8,577908.0,173373.14998299917,40672.828387955175,8211321.162088251,🔴 Strong
