drugname,pt,A,drug_reports,reaction_reports,B,C,D,A_adj,B_adj,C_adj,D_adj,PRR,ROR,ChiSquare,ROR_Lower95,ROR_Upper95,Signal
ISOFLAVONES SOY,AORTIC STENOSIS,5,5,67,0,62,385211,5,0.5,62.0,385211,5649.164222873899,62130.8064516129,28747.462626520577,3358.3614168899885,1149440.6441527552,🔴 Strong
ASPIRIN\CITRIC ACID MONOHYDRATE\SODIUM BICARBONATE,FEMALE GENITAL TRACT FISTULA,6,6,69,0,63,385209,6,0.5,63.0,385209,5645.010989010989,73373.14285714286,33496.95643642391,4055.060989716837,1327629.376324283,🔴 Strong
BETADERM,FEMALE GENITAL TRACT FISTULA,6,6,69,0,63,385209,6,0.5,63.0,385209,5645.010989010989,73373.14285714286,33496.95643642391,4055.060989716837,1327629.376324283,🔴 Strong
CORGARD,PARADOXICAL DRUG REACTION,6,6,69,0,63,385209,6,0.5,63.0,385209,5645.010989010989,73373.14285714286,33496.95643642391,4055.060989716837,1327629.376324283,🔴 Strong
NARATRIPTAN HYDROCHLORIDE,PARADOXICAL DRUG REACTION,6,6,69,0,63,385209,6,0.5,63.0,385209,5645.010989010989,73373.14285714286,33496.95643642391,4055.060989716837,1327629.376324283,🔴 Strong
DALFAMPRIDINE,CONGENITAL CENTRAL NERVOUS SYSTEM ANOMALY,4,91,7,87,3,385184,4,87.0,3.0,385184,5643.765567765568,5903.203065134099,9671.774143470988,1301.9205186806028,26766.462259558088,🔴 Strong
SINGULAIR,TYMPANOSCLEROSIS,4,273,5,269,1,385004,4,269.0,1.0,385004,5641.0989010989015,5724.966542750929,4511.337809223023,637.775923250752,51389.90156379949,🔴 Strong
BECLOMETHASONE DIPROPIONATE\CLOTRIMAZOLE,SPIROMETRY ABNORMAL,3,5,44,2,41,385232,3,2.0,41.0,385232,5638.141463414634,14093.853658536584,15757.377312249242,2294.497921322738,86570.88293796958,🔴 Strong
BETAMETHASONE\CLOTRIMAZOLE,SPIROMETRY ABNORMAL,3,5,44,2,41,385232,3,2.0,41.0,385232,5638.141463414634,14093.853658536584,15757.377312249242,2294.497921322738,86570.88293796958,🔴 Strong
NOLVADEX,GASTROINTESTINAL BACTERIAL INFECTION,3,5,44,2,41,385232,3,2.0,41.0,385232,5638.141463414634,14093.853658536584,15757.377312249242,2294.497921322738,86570.88293796958,🔴 Strong
UMECLIDINIUM BROMIDE AND VILANTEROL TRIFENATATE,SPIROMETRY ABNORMAL,3,5,44,2,41,385232,3,2.0,41.0,385232,5638.141463414634,14093.853658536584,15757.377312249242,2294.497921322738,86570.88293796958,🔴 Strong
LOMOTIL,RADICULOPATHY,11,16,58,5,47,385215,11,5.0,47.0,385215,5635.481382978724,18031.340425531915,50223.24972231353,6031.433259760839,53905.800419038926,🔴 Strong
DIABETA,MYCOTIC ALLERGY,5,6,62,1,57,385215,5,1.0,57.0,385215,5632.631578947369,33790.78947368421,25886.908544410424,3886.369801116167,293800.51608236454,🔴 Strong
POSACONAZOLE,ACQUIRED APPARENT MINERALOCORTICOID EXCESS,5,171,7,166,2,385105,5,166.0,2.0,385105,5630.219298245614,5799.774096385542,8040.45962163125,1117.3068981943934,30105.765589977007,🔴 Strong
ZEAXANTHIN,FEMALE GENITAL TRACT FISTULA,11,13,69,2,58,385207,11,2.0,58.0,385207,5620.576923076923,36528.25,51960.786754017136,7921.623842600782,168439.33448175772,🔴 Strong
MAGNESIUM TRISILICATE,TOTAL LUNG CAPACITY DECREASED,7,8,67,1,60,385210,7,1.0,60.0,385210,5618.520833333333,44941.16666666666,35214.165918182305,5445.559977275477,370890.8670163273,🔴 Strong
TITANIUM,AORTIC STENOSIS,7,8,67,1,60,385210,7,1.0,60.0,385210,5618.520833333333,44941.16666666666,35214.165918182305,5445.559977275477,370890.8670163273,🔴 Strong
VILANTEROL,AORTIC STENOSIS,7,8,67,1,60,385210,7,1.0,60.0,385210,5618.520833333333,44941.16666666666,35214.165918182305,5445.559977275477,370890.8670163273,🔴 Strong
VILANTEROL,TOTAL LUNG CAPACITY DECREASED,7,8,67,1,60,385210,7,1.0,60.0,385210,5618.520833333333,44941.16666666666,35214.165918182305,5445.559977275477,370890.8670163273,🔴 Strong
HALCION,SOPOR,5,7,54,2,49,385222,5,2.0,49.0,385222,5616.195335276968,19654.183673469382,25475.38356959756,3723.6364863830745,103739.1639283476,🔴 Strong
ATACAND,PERSONALITY DISORDER,15,21,64,6,49,385208,15,6.0,49.0,385208,5615.991253644315,19653.469387755104,-28000.371206194413,7322.433604137569,52750.066420154326,🟢 Weak
CLOFIBRATE,FEMALE GENITAL TRACT FISTULA,8,9,69,1,61,385208,8,1.0,61.0,385208,5614.1202185792345,50519.08196721312,39698.62785324715,6223.6890172190815,410074.73794864886,🔴 Strong
ISOSORBIDE DINITRATE,PRURITUS GENITAL,26,35,77,9,51,385192,26,9.0,51.0,385192,5611.382633053221,21819.15468409586,4366.740181352639,9743.530725744626,48860.677359040055,🔴 Strong
ACEBUTOLOL HYDROCHLORIDE,MULTIPLE DRUG THERAPY,19,29,64,10,45,385204,19,10.0,45.0,385204,5608.989272030651,16264.16888888889,7945.564110457431,7166.189869087012,36912.66830472666,🔴 Strong
METHYLPHENIDATE HYDROCHLORIDE,HEPATITIS C RNA,3,206,4,203,1,385071,3,203.0,1.0,385071,5607.844660194175,5690.704433497537,4204.427279728892,589.4542497922624,54939.1525480416,🔴 Strong
ZOLEDRONIC ACID,C-TELOPEPTIDE INCREASED,4,549,4,545,0,384729,4,545.0,0.5,384729,5606.258652094718,5647.398165137614,2803.1547857317983,298.19570120041533,106953.60767177696,🔴 Strong
ZOLEDRONIC ACID,SUBMANDIBULAR ABSCESS,4,549,4,545,0,384729,4,545.0,0.5,384729,5606.258652094718,5647.398165137614,2803.1547857317983,298.19570120041533,106953.60767177696,🔴 Strong
EPINEPHRINE HYDROCHLORIDE,CATARRH,11,27,39,16,28,385223,11,16.0,28.0,385223,5605.503968253967,9458.60044642857,44257.79482139771,4033.1493748340326,22182.447038391736,🔴 Strong
PERPHENAZINE,APRAXIA,11,36,32,25,21,385221,11,25.0,21.0,385221,5605.373015873017,8071.297142857143,40452.710123246216,3525.97648673002,18475.970504474342,🔴 Strong
MAGNESIUM ASPARTATE\POTASSIUM ASPARTATE,BRAIN NATRIURETIC PEPTIDE INCREASED,12,12,78,0,66,385200,12,0.5,66.0,385200,5603.86909090909,140072.72727272726,59263.38429911961,8189.681411616053,2395742.635090879,🔴 Strong
ALBENDAZOLE,CATARRH,15,43,39,28,24,385211,15,28.0,24.0,385211,5599.345930232558,8598.45982142857,-22446.15100808125,4086.4871794237633,18092.19215784906,🟢 Weak
CALCIUM GLYCINATE,MYCOTIC ALLERGY,3,3,62,0,59,385216,3,0.5,59.0,385216,5597.215496368039,39174.50847457627,18639.62901002845,1941.0341435878163,790631.1794124397,🔴 Strong
CALCIUM PANTOTHENATE\CYANOCOBALAMIN\NIACINAMIDE\PYRIDOXINE HYDROCHLORIDE\RIBOFLAVIN\THIAMINE HYDROCHLORIDE,MYCOTIC ALLERGY,3,3,62,0,59,385216,3,0.5,59.0,385216,5597.215496368039,39174.50847457627,18639.62901002845,1941.0341435878163,790631.1794124397,🔴 Strong
CLAVULANATE POTASSIUM,MYCOTIC ALLERGY,3,3,62,0,59,385216,3,0.5,59.0,385216,5597.215496368039,39174.50847457627,18639.62901002845,1941.0341435878163,790631.1794124397,🔴 Strong
GESTODENE,TEMPOROMANDIBULAR PAIN AND DYSFUNCTION SYNDROME,3,3,62,0,59,385216,3,0.5,59.0,385216,5597.215496368039,39174.50847457627,18639.62901002845,1941.0341435878163,790631.1794124397,🔴 Strong
HAWTHORN LEAF WITH FLOWER\QUININE,PANCREATITIS NECROTISING,3,3,62,0,59,385216,3,0.5,59.0,385216,5597.215496368039,39174.50847457627,18639.62901002845,1941.0341435878163,790631.1794124397,🔴 Strong
SECUKINUMAB,TUMEFACTIVE MULTIPLE SCLEROSIS,7,241,9,234,2,385035,7,234.0,2.0,385035,5591.823651452282,5759.070512820513,8695.484638174203,1190.129448860523,27868.30726976299,🔴 Strong
ALMOTRIPTAN,PRODUCT USED FOR UNKNOWN INDICATION,7,21,30,14,23,385234,7,14.0,23.0,385234,5583.434782608696,8374.652173913044,29956.033513269853,3095.976889877412,22653.527958602943,🔴 Strong
AMANTADINE HYDROCHLORIDE,HYPORESPONSIVE TO STIMULI,7,23,28,16,21,385234,7,16.0,21.0,385234,5583.40579710145,8025.708333333333,29304.51107442908,2994.6542975277644,21508.99164050806,🔴 Strong
VIMOVO,SYNOVIAL DISORDER,3,23,12,20,9,385246,3,20.0,9.0,385246,5583.405797101449,6420.766666666666,12558.554599483175,1618.2183092190994,25476.31821547748,🔴 Strong
VIMOVO,TENOSYNOVITIS STENOSANS,3,23,12,20,9,385246,3,20.0,9.0,385246,5583.405797101449,6420.766666666666,12558.554599483175,1618.2183092190994,25476.31821547748,🔴 Strong
PRAZOSIN,PUPILLARY REFLEX IMPAIRED,16,46,40,30,24,385208,16,30.0,24.0,385208,5583.072463768115,8560.177777777777,-13970.03916842456,4138.472033973418,17706.207263361946,🟢 Weak
MANNITOL,CONGENITAL HIATUS HERNIA,18,54,41,36,23,385201,18,36.0,23.0,385201,5582.95652173913,8373.934782608696,216.38093506567444,4166.801311385337,16828.924276226153,🔴 Strong
LASIX,CEREBRAL ARTERY THROMBOSIS,8,92,14,84,6,385180,8,84.0,6.0,385180,5582.405797101449,6113.9682539682535,19133.515752126623,2076.458939325488,18002.09342096322,🔴 Strong
TESTOSTERONE,RENAL ARTERY THROMBOSIS,3,207,4,204,1,385070,3,204.0,1.0,385070,5580.739130434783,5662.794117647059,4184.097921997223,586.575244059878,54668.582664536574,🔴 Strong
CANDESARTAN CILEXETIL\HYDROCHLOROTHIAZIDE,ANTINEUTROPHIL CYTOPLASMIC ANTIBODY POSITIVE,15,28,52,13,37,385213,15,13.0,37.0,385213,5577.944015444015,12012.879417879418,-25848.468594684506,5346.166991501341,26993.034848689804,🟢 Weak
ATROVENT,ANTACID THERAPY,25,133,38,108,13,385132,25,108.0,13.0,385132,5568.8982070561015,6857.763532763533,-1582.963424619743,3418.2885730775924,13758.031150939303,🟢 Weak
ATROPINE SULFATE\DIPHENOXYLATE HYDROCHLORIDE,RADICULOPATHY,6,8,58,2,52,385218,6,2.0,52.0,385218,5556.778846153846,22224.115384615383,29885.37924278152,4383.835269936959,112666.4836189888,🔴 Strong
POLYMYXIN B SULFATE,RADICULOPATHY,6,8,58,2,52,385218,6,2.0,52.0,385218,5556.778846153846,22224.115384615383,29885.37924278152,4383.835269936959,112666.4836189888,🔴 Strong
TIAPRIDE HYDROCHLORIDE,WHITE MATTER LESION,3,8,29,5,26,385244,3,5.0,26.0,385244,5556.778846153846,8890.246153846154,14941.564795631262,2019.511877328012,39136.4257686606,🔴 Strong
COLISTIN SULFATE,PRODUCT APPEARANCE CONFUSION,3,13,19,10,16,385249,3,10.0,16.0,385249,5556.706730769231,7223.41875,14033.635843794362,1816.9917239686224,28716.574626925863,🔴 Strong
FLEXERIL,POSTNATAL GROWTH RESTRICTION,3,13,19,10,16,385249,3,10.0,16.0,385249,5556.706730769231,7223.41875,14033.635843794362,1816.9917239686224,28716.574626925863,🔴 Strong
GANCICLOVIR SODIUM,RETINAL TOXICITY,6,26,22,20,16,385236,6,20.0,16.0,385236,5556.519230769231,7223.175,24239.286985903917,2564.3365323243324,20346.10372817713,🔴 Strong
CYPROTERONE ACETATE,ANTEROGRADE AMNESIA,3,26,11,23,8,385244,3,23.0,8.0,385244,5556.519230769231,6281.152173913043,12119.297457401488,1566.9202635826405,25178.60898782853,🔴 Strong
COMIRNATY (TOZINAMERAN),MORTON'S NEURALGIA,3,52,7,49,4,385222,3,49.0,4.0,385222,5556.144230769231,5896.255102040816,9521.563412848174,1285.796518985413,27038.35615900955,🔴 Strong
COMIRNATY (TOZINAMERAN),VIRAL TEST POSITIVE,3,52,7,49,4,385222,3,49.0,4.0,385222,5556.144230769231,5896.255102040816,9521.563412848174,1285.796518985413,27038.35615900955,🔴 Strong
TUCATINIB,HYPERPROTEINAEMIA,3,52,7,49,4,385222,3,49.0,4.0,385222,5556.144230769231,5896.255102040816,9521.563412848174,1285.796518985413,27038.35615900955,🔴 Strong
AZELASTINE HYDROCHLORIDE\FLUTICASONE PROPIONATE,MICROANGIOPATHY,7,18,34,11,27,385233,7,11.0,27.0,385233,5549.0123456790125,9079.565656565655,30837.58510104009,3274.161286607202,25178.512997846858,🔴 Strong
NICOTINAMIDE,NIKOLSKY'S SIGN POSITIVE,8,139,12,131,4,385135,8,131.0,4.0,385135,5541.568345323741,5879.923664122138,14772.642849181071,1749.1587390650825,19765.788846804666,🔴 Strong
NICOTINAMIDE,URINE CALCIUM/CREATININE RATIO INCREASED,4,139,6,135,2,385137,4,135.0,2.0,385137,5541.568345323741,5705.733333333334,7386.20639435593,1036.3419188348296,31413.75667570554,🔴 Strong
XHANCE,RECTAL NEOPLASM,4,139,6,135,2,385137,4,135.0,2.0,385137,5541.568345323741,5705.733333333334,7386.20639435593,1036.3419188348296,31413.75667570554,🔴 Strong
ALTACE,PERSONALITY DISORDER,21,34,64,13,43,385201,21,13.0,43.0,385201,5533.600547195622,14470.878354203936,20935.833626407017,6811.548446764845,30742.836519297733,🔴 Strong
SOMAVERT,INSULIN-LIKE GROWTH FACTOR INCREASED,14,75,27,61,13,385190,14,61.0,13.0,385190,5531.120000000001,6800.327868852459,-24111.880827485485,3069.221740277388,15067.161331820882,🟢 Weak
CALCIUM CARBONATE\MAGNESIUM CARBONATE\MAGNESIUM TRISILICATE,CAPILLARITIS,4,9,35,5,31,385238,4,5.0,31.0,385238,5523.569892473118,9941.625806451611,19563.911228808985,2548.76459687484,38777.97258981552,🔴 Strong
ASCIMINIB,GRAFT VERSUS HOST DISEASE IN EYE,8,93,14,85,6,385179,8,85.0,6.0,385179,5522.365591397849,6042.023529411765,18927.656144560653,2052.5359908555706,17785.8261646113,🔴 Strong
AMMONIUM CHLORIDE,MALIGNANT MELANOMA STAGE 0,17,27,61,10,44,385207,17,10.0,44.0,385207,5512.85101010101,14882.997727272726,-7884.059584539023,6456.461654211188,34307.277455218966,🟢 Weak
TIAZAC,CONJUNCTIVITIS ALLERGIC,18,18,86,0,68,385192,18,0.5,68.0,385192,5512.464228934818,203925.17647058825,324.9706427199475,12153.587194808511,3421662.833531494,🔴 Strong
FLUCONAZOLE,ADENOVIRUS REACTIVATION,4,559,4,555,0,384719,4,555.0,0.5,384719,5505.824686940966,5545.499099099099,2752.937346961482,292.82151672184585,105021.5182353593,🔴 Strong
BECLOMETHASONE DIPROPIONATE\CLOTRIMAZOLE,MITE ALLERGY,4,5,60,1,56,385217,4,1.0,56.0,385217,5503.900000000001,27515.5,20543.626638985523,3027.701149506814,250058.6097717489,🔴 Strong
BROMHEXINE\CLORPRENALINE\SULFAMETHOXAZOLE\TRIMETHOPRIM,VENTRICULAR HYPOKINESIA,3,5,45,2,42,385231,3,2.0,42.0,385231,5503.9,13758.25,15407.120041539907,2241.2382445372605,84457.5285665723,🔴 Strong
AMINO ACIDS\ELECTROLYTES NOS,SPINAL CORD DISORDER,3,6,38,3,35,385237,3,3.0,35.0,385237,5503.885714285714,11006.771428571428,15204.07902893852,2147.364372199939,56417.54089302554,🔴 Strong
STEARIC ACID,ANTACID THERAPY,3,6,38,3,35,385237,3,3.0,35.0,385237,5503.885714285714,11006.771428571428,15204.07902893852,2147.364372199939,56417.54089302554,🔴 Strong
STEARYL ALCOHOL,ANTACID THERAPY,3,6,38,3,35,385237,3,3.0,35.0,385237,5503.885714285714,11006.771428571428,15204.07902893852,2147.364372199939,56417.54089302554,🔴 Strong
ISOPTIN,AREFLEXIA,6,7,66,1,60,385211,6,1.0,60.0,385211,5503.871428571429,38521.1,30015.350559150163,4568.083440377521,324835.38546908984,🔴 Strong
DEXTROSE\HEPARIN SODIUM,APPENDICOLITH,3,7,33,4,30,385241,3,4.0,30.0,385241,5503.871428571429,9631.025,15006.389725488136,2066.45615488423,44886.81859103919,🔴 Strong
XERAVA,BLOOD FIBRINOGEN DECREASED,4,8,39,4,35,385235,4,4.0,35.0,385235,5503.857142857143,11006.714285714286,19752.25649666321,2647.2590510586087,45763.46969855527,🔴 Strong
ALUMINUM HYDROXIDE\MAGNESIUM HYDROXIDE,ANALGESIC THERAPY,5,10,40,5,35,385233,5,5.0,35.0,385233,5503.828571428571,11006.657142857142,24073.00008113932,3050.7126042612613,39710.88633232435,🔴 Strong
BETAMETHASONE DIPROPIONATE\CLIOQUINOL,ANTICOAGULANT THERAPY,5,10,40,5,35,385233,5,5.0,35.0,385233,5503.828571428571,11006.657142857142,24073.00008113932,3050.7126042612613,39710.88633232435,🔴 Strong
BISEPTOL,CEREBRAL HAEMATOMA,5,10,40,5,35,385233,5,5.0,35.0,385233,5503.828571428571,11006.657142857142,24073.00008113932,3050.7126042612613,39710.88633232435,🔴 Strong
INDAPAMIDE\PERINDOPRIL,BRONCHIAL HYPERREACTIVITY,3,10,24,7,21,385247,3,7.0,21.0,385247,5503.828571428571,7862.183673469388,14443.20018261918,1903.1625830306928,32479.58564682004,🔴 Strong
IPRATROPIUM BROMIDE\XYLOMETAZOLINE HYDROCHLORIDE,SLEEP DISORDER THERAPY,5,14,30,9,25,385239,5,9.0,25.0,385239,5503.771428571429,8560.866666666667,22925.833515680013,2679.972145025304,27346.716353185275,🔴 Strong
LUTEIN,SLEEP DISORDER THERAPY,5,14,30,9,25,385239,5,9.0,25.0,385239,5503.771428571429,8560.866666666667,22925.833515680013,2679.972145025304,27346.716353185275,🔴 Strong
MAALOX ANTACID,BACTEROIDES INFECTION,4,14,24,10,20,385244,4,10.0,20.0,385244,5503.771428571428,7704.88,18340.3811724186,2230.5251017752184,26614.88802217591,🔴 Strong
PELACARSEN,CEREBROVASCULAR DISORDER,4,14,24,10,20,385244,4,10.0,20.0,385244,5503.771428571428,7704.88,18340.3811724186,2230.5251017752184,26614.88802217591,🔴 Strong
XANTOFYL PALMITATE,ANALGESIC THERAPY,12,30,40,18,28,385220,12,18.0,28.0,385220,5503.542857142857,9171.90476190476,46217.75990667014,4043.627628837103,20804.05138235839,🔴 Strong
IMITREX,POST-TRAUMATIC NECK SYNDROME,6,30,20,24,14,385234,6,24.0,14.0,385234,5503.542857142857,6879.178571428572,23107.680295965027,2439.519222560637,19398.534506290733,🔴 Strong
AGOMELATINE,AMAUROSIS FUGAX,11,35,33,24,22,385221,11,24.0,22.0,385221,5503.471428571428,8025.4375,40347.581010696274,3509.9958806741283,18349.77853422329,🔴 Strong
RIBAVIRIN,AMAUROSIS FUGAX,11,35,33,24,22,385221,11,24.0,22.0,385221,5503.471428571428,8025.4375,40347.581010696274,3509.9958806741283,18349.77853422329,🔴 Strong
PNEUMOCOCCAL VACCINE NOS,FACTOR V LEIDEN MUTATION,6,35,18,29,12,385231,6,29.0,12.0,385231,5503.471428571428,6641.913793103448,22006.914593401885,2334.9527164897286,18893.32427310925,🔴 Strong
ASPARAGINASE,NEUROLOGICAL EXAMINATION ABNORMAL,3,35,9,32,6,385237,3,32.0,6.0,385237,5503.471428571428,6019.328125,11003.200252620907,1442.5161880134424,25117.438110911786,🔴 Strong
GINKGO,AMAUROSIS FUGAX,12,40,33,28,21,385217,12,28.0,21.0,385217,5503.4,7861.571428571428,42014.29092311045,3531.821109360502,17499.274004203842,🔴 Strong
CINACALCET HYDROCHLORIDE,PARATHYROID TUMOUR BENIGN,9,45,23,36,14,385219,9,36.0,14.0,385219,5503.328571428571,6878.910714285715,30139.51328208141,2799.921233227892,16900.26564088824,🔴 Strong
ACETIC ACID\DELTAMETHRIN,BRAIN NATRIURETIC PEPTIDE INCREASED,11,11,78,0,67,385200,11,0.5,67.0,385200,5500.242699545749,126483.58208955223,54324.62793535193,7358.514041137199,2174093.362976326,🔴 Strong
ASPIRIN CALCIUM,BRAIN NATRIURETIC PEPTIDE INCREASED,11,11,78,0,67,385200,11,0.5,67.0,385200,5500.242699545749,126483.58208955223,54324.62793535193,7358.514041137199,2174093.362976326,🔴 Strong
HERBALS\PHENYL SALICYLATE,BRAIN NATRIURETIC PEPTIDE INCREASED,11,11,78,0,67,385200,11,0.5,67.0,385200,5500.242699545749,126483.58208955223,54324.62793535193,7358.514041137199,2174093.362976326,🔴 Strong
CALCIUM\ERGOCALCIFEROL,SPIROMETRY ABNORMAL,5,9,44,4,39,385230,5,4.0,39.0,385230,5488.1623931623935,12347.115384615385,24316.45206781756,3195.267499918968,47711.57917916792,🔴 Strong
EPINEPHRINE HYDROCHLORIDE,FACTOR V LEIDEN MUTATION,5,27,18,22,13,385238,5,22.0,13.0,385238,5487.905982905983,6734.93006993007,19811.14227428708,2213.219218746633,20494.70864098843,🔴 Strong
AMMONIUM CHLORIDE,ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED,27,27,96,0,69,385182,27,0.5,69.0,385182,5481.832411067194,301446.7826086957,12420.95920783272,18196.91181655036,4993713.420234664,🔴 Strong
ALOE VERA LEAF,MALIGNANT MELANOMA STAGE 0,16,25,61,9,45,385208,16,9.0,45.0,385208,5479.1537777777785,15218.093827160494,-16849.04434482639,6392.461306824668,36228.67133900541,🟢 Weak
SALMETEROL XINAFOATE,MULTI-ORGAN DISORDER,17,52,40,35,23,385203,17,35.0,23.0,385203,5475.620401337793,8134.721739130435,-6249.953013803016,4003.131735416356,16530.482169155686,🟢 Weak
DIFENOXIN HYDROCHLORIDE,FEMALE GENITAL TRACT FISTULA,5,5,69,0,64,385209,5,0.5,64.0,385209,5472.627840909091,60188.90625,27914.05791082754,3254.4754736983264,1113145.4100204092,🔴 Strong
PIZOTYLINE MALEATE,PARADOXICAL DRUG REACTION,5,5,69,0,64,385209,5,0.5,64.0,385209,5472.627840909091,60188.90625,27914.05791082754,3254.4754736983264,1113145.4100204092,🔴 Strong
POLYETHYLENE GLYCOL\PROPYLENE GLYCOL\SODIUM CHLORIDE,FEMALE GENITAL TRACT FISTULA,5,5,69,0,64,385209,5,0.5,64.0,385209,5472.627840909091,60188.90625,27914.05791082754,3254.4754736983264,1113145.4100204092,🔴 Strong
LYRICA,AVOIDANT PERSONALITY DISORDER,3,422,3,419,0,384856,3,419.0,0.5,384856,5471.893364928909,5511.064439140811,2735.964431782432,275.6222219057675,110193.69571277266,🔴 Strong
PALIPERIDONE,ILLITERACY,10,176,14,166,4,385098,10,166.0,4.0,385098,5470.198863636364,5799.668674698795,15623.993582257994,1800.9396053418218,18677.004290712062,🔴 Strong
ZOCOR,DRUG THERAPY,21,74,41,53,20,385184,21,53.0,20.0,385184,5465.732432432432,7631.0037735849055,15004.070297860482,3908.916621996403,14897.27825474215,🔴 Strong
ALISKIREN,NEUROLOGIC NEGLECT SYNDROME,14,47,35,33,21,385210,14,33.0,21.0,385210,5464.269503546099,7782.020202020202,-29673.790274959545,3648.6218379142447,16598.003606553524,🟢 Weak
MALTOSE,MALIGNANT MELANOMA STAGE 0,15,23,61,8,46,385209,15,8.0,46.0,385209,5462.02741020794,15701.453804347826,-26824.070672742677,6349.073139829216,38830.179797976016,🟢 Weak
BISMUTH SUBNITRATE,APPENDICOLITH,7,19,33,12,26,385233,7,12.0,26.0,385233,5459.135627530364,8643.048076923076,30099.508931144293,3153.2740464541894,23690.386233320045,🔴 Strong
SAFFLOWER,APPENDICOLITH,7,19,33,12,26,385233,7,12.0,26.0,385233,5459.135627530364,8643.048076923076,30099.508931144293,3153.2740464541894,23690.386233320045,🔴 Strong
BETA CAROTENE,BRONCHOPULMONARY ASPERGILLOSIS ALLERGIC,13,17,67,4,54,385207,13,4.0,54.0,385207,5455.765795206972,23183.75462962963,-51977.14407605647,7326.307162522069,73363.90173161186,🟢 Weak
CICLESONIDE,TOTAL LUNG CAPACITY ABNORMAL,22,111,36,89,14,385153,22,89.0,14.0,385153,5452.814671814672,6800.454253611557,15528.281139289871,3371.727760526084,13715.869530417784,🔴 Strong
ESOMEPRAZOLE MAGNESIUM\NAPROXEN,SYNOVIAL FLUID ANALYSIS,3,53,7,50,4,385221,3,50.0,4.0,385221,5451.297169811321,5778.315,9341.822334335891,1260.7262746145095,26483.88068967177,🔴 Strong
CEFTOLOZANE SULFATE\TAZOBACTAM SODIUM,VIRAL HAEMORRHAGIC CYSTITIS,7,15,40,8,33,385230,7,8.0,33.0,385230,5448.163636363637,10214.431818181818,31454.86173949844,3502.7825374153185,29786.21032103036,🔴 Strong
HEXACHLOROPHENE,OTITIS MEDIA,9,9,76,0,67,385202,9,0.5,67.0,385202,5447.637077769049,103487.10447761194,45617.091919917606,5939.245590192735,1803188.743507173,🔴 Strong
HYDROCHLOROTHIAZIDE\QUINAPRIL HYDROCHLORIDE,MULTIPLE DRUG THERAPY,5,6,64,1,59,385213,5,1.0,59.0,385213,5441.6949152542375,32645.169491525423,25077.760359595788,3756.592854199671,283689.8041636368,🔴 Strong
CELIPROLOL,SINUS NODE DYSFUNCTION,7,16,38,9,31,385231,7,9.0,31.0,385231,5437.165322580645,9665.293906810037,31040.717203963668,3386.965376938524,27581.594704537376,🔴 Strong
BETAMETHASONE DIPROPIONATE\BETAMETHASONE SODIUM PHOSPHATE,BRONCHOPULMONARY ASPERGILLOSIS ALLERGIC,4,4,67,0,63,385211,4,0.5,63.0,385211,5435.964726631392,48915.68253968254,22997.910408711647,2559.326701321663,934911.5128941392,🔴 Strong
BISMUTH SUBGALLATE\BUFEXAMAC\LIDOCAINE HYDROCHLORIDE\TITANIUM DIOXIDE,AORTIC STENOSIS,4,4,67,0,63,385211,4,0.5,63.0,385211,5435.964726631392,48915.68253968254,22997.910408711647,2559.326701321663,934911.5128941392,🔴 Strong
BUFEXAMAC,AORTIC STENOSIS,4,4,67,0,63,385211,4,0.5,63.0,385211,5435.964726631392,48915.68253968254,22997.910408711647,2559.326701321663,934911.5128941392,🔴 Strong
BUFEXAMAC,TOTAL LUNG CAPACITY DECREASED,4,4,67,0,63,385211,4,0.5,63.0,385211,5435.964726631392,48915.68253968254,22997.910408711647,2559.326701321663,934911.5128941392,🔴 Strong
CALCIUM CHLORIDE\DEXTROSE\POTASSIUM CHLORIDE\SODIUM CHLORIDE,AORTIC STENOSIS,4,4,67,0,63,385211,4,0.5,63.0,385211,5435.964726631392,48915.68253968254,22997.910408711647,2559.326701321663,934911.5128941392,🔴 Strong
CALCIUM\MELATONIN\PYRIDOXINE HYDROCHLORIDE,BRONCHOPULMONARY ASPERGILLOSIS ALLERGIC,4,4,67,0,63,385211,4,0.5,63.0,385211,5435.964726631392,48915.68253968254,22997.910408711647,2559.326701321663,934911.5128941392,🔴 Strong
DISODIUM HYDROGEN CITRATE,AORTIC STENOSIS,4,4,67,0,63,385211,4,0.5,63.0,385211,5435.964726631392,48915.68253968254,22997.910408711647,2559.326701321663,934911.5128941392,🔴 Strong
FENOTEROL HYDROBROMIDE,AORTIC STENOSIS,4,4,67,0,63,385211,4,0.5,63.0,385211,5435.964726631392,48915.68253968254,22997.910408711647,2559.326701321663,934911.5128941392,🔴 Strong
HERBALS\ZINC OXIDE,AORTIC STENOSIS,4,4,67,0,63,385211,4,0.5,63.0,385211,5435.964726631392,48915.68253968254,22997.910408711647,2559.326701321663,934911.5128941392,🔴 Strong
LEVALBUTEROL HYDROCHLORIDE,BRONCHOPULMONARY ASPERGILLOSIS ALLERGIC,4,4,67,0,63,385211,4,0.5,63.0,385211,5435.964726631392,48915.68253968254,22997.910408711647,2559.326701321663,934911.5128941392,🔴 Strong
RINGERS AND DEXTROSE SOLUTION,AORTIC STENOSIS,4,4,67,0,63,385211,4,0.5,63.0,385211,5435.964726631392,48915.68253968254,22997.910408711647,2559.326701321663,934911.5128941392,🔴 Strong
